Replacement Policy = LRU
-------------------------------------
Page   Content of Frames
----   -----------------
86     86 
33     86 33 
38     86 33 38 
01     86 33 38 01 
59     86 33 38 01 59 
25     86 33 38 01 59 25 
49     86 33 38 01 59 25 49 
05     86 33 38 01 59 25 49 05 
25     86 33 38 01 59 25 49 05 
78     86 33 38 01 59 25 49 05 78 
74     86 33 38 01 59 25 49 05 78 74 
44     86 33 38 01 59 25 49 05 78 74 44 
82     86 33 38 01 59 25 49 05 78 74 44 82 
39     86 33 38 01 59 25 49 05 78 74 44 82 39 
03     86 33 38 01 59 25 49 05 78 74 44 82 39 03 
15     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 
29     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 
13     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 
15     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 
49     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 
27     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 
90     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 
97     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 
35     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 
57     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 
51     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 
39     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 
16     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 
56     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 
98     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 
53     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 
08     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 
44     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 
67     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 
39     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 
07     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 
85     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 
62     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 
43     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 
88     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 
22     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 
22     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 
37     86 33 38 01 59 25 49 05 78 74 44 82 39 03 15 29 13 27 90 97 35 57 51 16 56 98 53 08 67 07 85 62 43 88 22 37 
