Replacement Policy = CLOCK
-------------------------------------
Page   Content of Frames
----   -----------------
19     19 
50     19 50 
17     19 50 17 
79     19 50 17 79 
16     19 50 17 79 16 
69     19 50 17 79 16 69 
40     19 50 17 79 16 69 40 
37     19 50 17 79 16 69 40 37 
32     19 50 17 79 16 69 40 37 32 
87     19 50 17 79 16 69 40 37 32 87 
17     19 50 17 79 16 69 40 37 32 87 
26     19 50 17 79 16 69 40 37 32 87 26 
60     19 50 17 79 16 69 40 37 32 87 26 60 
46     19 50 17 79 16 69 40 37 32 87 26 60 46 
55     19 50 17 79 16 69 40 37 32 87 26 60 46 55 
83     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 
41     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 
07     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 
68     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 
91     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 
77     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 
10     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 
28     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 
17     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 
62     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 
14     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 
31     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 
17     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 
05     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 
57     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 
80     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 
72     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 
34     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 
85     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 
21     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 
71     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 
74     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 
45     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 
90     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 
51     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 
57     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 
71     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 
20     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 
80     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 
69     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 
53     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 
78     19 50 17 79 16 69 40 37 32 87 26 60 46 55 83 41 07 68 91 77 10 28 62 14 31 05 57 80 72 34 85 21 71 74 45 90 51 20 53 78 
